Categoría,Roles Profesionales
Software Engineering,"Backend Developer, Frontend Developer, Full-Stack Developer, Software Architect, Tech Lead, Engineering Manager, Mobile Developer, DevOps Engineer, Infrastructure Engineer, SRE (Site Reliability Engineer), SysAdmin, DBA, QA Engineer, Test Automation Engineer, Security Engineer, MLOps Specialist, Developer Advocate, API Developer, Cloud Engineer, Game Developer"
Data,"Data Analyst, Business Intelligence Specialist, Data Engineer, Data Scientist, Machine Learning Engineer, AI Researcher, Data Visualization Specialist, Big Data Engineer, Data Architect, NLP Engineer"
Producto,"Product Manager, Product Owner, Project Manager, Delivery Manager, Product Analyst, Lead Product Manager, VP of Product, Technical Product Manager, Growth Product Manager, Innovation Manager"
Diseño,"Brand Designer, Graphic Designer, Motion Designer, Layout Designer, UI/UX Designer, UX Writer, UX Researcher, Interaction Designer, Visual Designer, 3D Artist, Service Designer, Lead Designer"
Marketing,"Brand Marketing Specialist, Creative Marketing Specialist, Content Marketer, Content Strategist, Copywriter, Marketing Generalist, Growth Manager, Performance Marketer, PR Specialist, Social Media Manager, Community Manager"
Sales,"Sales Development Representative, Account Executive, Enterprise Account Executive, Sales Manager, Sales Operations Specialist, Customer Success Manager, Solution Engineer, Sales Engineer, Channel Sales Manager, Regional Sales Director, Chief Revenue Officer"
Legal,"Legal Counsel, Compliance Officer, Legal Manager, Contract Manager, IP Specialist, Data Privacy Officer, General Counsel"
Operaciones,"Operations Manager, Business Operations Manager, Strategy Consultant, Customer Service Specialist, Support Specialist, Operations Analyst"
Finanzas,"Financial Analyst, Accountant, Controller, Finance Manager, CFO, Investment Analyst, Tax Specialist, Auditor"
Recursos Humanos,"HR Generalist, Talent Acquisition Specialist, HR Business Partner, Learning & Development Specialist, Compensation & Benefits Specialist, People Operations Manager, HR Manager, Recruitment Specialist, Onboarding Specialist, Organizational Development Specialist"
Administración,"Administrative Assistant, Office Manager, Executive Assistant, Facilities Manager, Administrative Coordinator, Virtual Assistant, Front Desk Coordinator, Administrative Director"

Categoría,Nivel Profesional,Años de Experiencia,Habilidades Esperadas
Software Engineering,Test Automation Engineer Junior,0-2,"Automatización de pruebas básicas, frameworks de testing, scripts de prueba, integración con CI, testing API básico, testing UI"
Software Engineering,Test Automation Engineer Mid-level,2-4,"Automatización avanzada, diseño de frameworks de test, pruebas de rendimiento básicas, testing API avanzado, integración CI/CD"
Software Engineering,Test Automation Engineer Senior,4-7,"Arquitectura de automatización, estrategias de testing, performance testing, security testing, mentorización, framework customizados"
Software Engineering,Test Automation Lead,7-10,"Liderazgo de equipos de automatización, estrategias de testing, frameworks propios, optimización de procesos de QA, planificación técnica"
Software Engineering,Test Automation Architect,8-12,"Diseño de arquitecturas de automatización, estrategias de testing empresarial, frameworks de automatización avanzados, governance"
Software Engineering,Principal Test Automation Engineer,10-15,"Liderazgo de estrategias de automatización, innovación en testing, consultoría interna, definición de estándares, mentorización"
Software Engineering,Test Automation Director,12-18,"Dirección de equipos de automatización, estrategia global de QA, gestión presupuestaria, roadmap de automatización, innovación"

# Software Engineering - MLOps Specialist
Software Engineering,MLOps Engineer Trainee,0-1,"Fundamentos de MLOps, conceptos de ML, herramientas básicas de CI/CD para ML, despliegue simple de modelos, monitoreo básico"
Software Engineering,MLOps Engineer Junior,0-2,"Despliegue de modelos ML, pipelines básicos, versionado de modelos y datos, testing de modelos, integración con infraestructura básica"
Software Engineering,MLOps Engineer Mid-level,2-4,"Pipelines avanzados de ML, automatización de training, monitoreo de modelos, infraestructura escalable, optimización de recursos"
Software Engineering,MLOps Engineer Senior,4-7,"Arquitectura de plataformas ML, estrategias de despliegue avanzadas, observabilidad de modelos, seguridad en ML, governance de modelos"
Software Engineering,MLOps Lead,7-10,"Liderazgo de equipos MLOps, arquitectura de plataformas, estrategias de escalabilidad, definición de workflows, planificación técnica"
Software Engineering,MLOps Architect,8-12,"Diseño de arquitecturas MLOps empresariales, estrategias de gestión del ciclo de vida ML, plataformas multi-equipo, compliance"
Software Engineering,Principal MLOps Engineer,10-15,"Liderazgo de plataformas ML, innovación en MLOps, consultoría interna, estrategia tecnológica, mentorización de equipos"
Software Engineering,ML Platform Director,12-18,"Dirección de plataformas ML, estrategia de operacionalización de ML, gestión presupuestaria, roadmap tecnológico, innovación"

# Software Engineering - Developer Advocate
Software Engineering,Developer Advocate Junior,0-2,"Documentación técnica básica, tutoriales simples, soporte a desarrolladores, presentaciones básicas, participación en comunidades"
Software Engineering,Developer Advocate Mid-level,2-4,"Creación de contenido técnico, demos avanzadas, workshops, presentaciones técnicas, gestión de comunidades, feedback de producto"
Software Engineering,Developer Advocate Senior,4-7,"Estrategia de developer relations, contenido técnico avanzado, representación en eventos, influencia en producto, construcción de comunidad"
Software Engineering,Lead Developer Advocate,7-10,"Liderazgo de equipos de advocacy, estrategia de developer experience, programas de adopción, relaciones con partners, estrategia de contenido"
Software Engineering,Developer Relations Manager,8-12,"Gestión de programas de DevRel, estrategia de adopción de plataforma, métricas de éxito, gestión presupuestaria, relaciones con stakeholders"
Software Engineering,Director of Developer Relations,10-15,"Dirección de developer relations, estrategia de ecosistema de desarrolladores, gestión de managers, programas globales, partnerships"

# Software Engineering - API Developer
Software Engineering,API Developer Trainee,0-1,"Fundamentos de APIs, REST básico, desarrollo de endpoints simples, documentación básica, testing de endpoints, protocolos HTTP"
Software Engineering,API Developer Junior,0-2,"Desarrollo de APIs REST, implementación de endpoints, seguridad básica, testing de APIs, integración con bases de datos, documentación"
Software Engineering,API Developer Mid-level,2-4,"Diseño de APIs, seguridad avanzada, protocolos (REST, GraphQL), optimización de rendimiento, versionado, micro-servicios"
Software Engineering,API Developer Senior,4-7,"Arquitectura de APIs, estrategias de escalabilidad, gateway patterns, caché, políticas avanzadas, mentorización, API governance"
Software Engineering,API Tech Lead,7-10,"Liderazgo técnico de equipos API, frameworks de desarrollo, estrategias de integración, planificación técnica, revisión de código"
Software Engineering,API Architect,8-12,"Diseño de arquitecturas API empresariales, estrategias multi-servicio, estándares de API, seguridad y cumplimiento, governance"
Software Engineering,Principal API Engineer,10-15,"Liderazgo de estrategia de APIs, innovación en integraciones, consultoría interna, estrategia tecnológica, mentorización de equipos"
Software Engineering,API Platform Director,12-18,"Dirección de plataformas API, estrategia de integraciones, gestión presupuestaria, roadmap tecnológico, ecosistema de partners API"

# Data - General
Data,Data Trainee,0-1,"Fundamentos de datos, estadística básica, programación en Python/R, conocimientos básicos de matemáticas, fundamentos de SQL, visualización básica de datos"
Data,Data Junior,0-2,"Análisis de datos básico, SQL intermedio, herramientas de datos, visualización básica, reportes simples, programación básica, colaboración"
Data,Data Mid-level,2-4,"Análisis estadístico, pipelines de datos, automatización de procesos, dashboards interactivos, integración de fuentes, optimización básica"
Data,Data Senior,4-7,"Modelado avanzado, arquitectura de datos, optimización de procesos, storytelling con datos, comunicación técnica-negocio, liderazgo técnico"
Data,Data Tech Lead,7-10,"Liderazgo técnico de equipos de datos, definición de frameworks, arquitectura de soluciones, priorización, guía técnica, mentorización"
Data,Data Architect,8-12,"Diseño de arquitecturas de datos empresariales, selección de tecnologías, patrones avanzados, estrategias de escalabilidad, gobierno de datos"
Data,Principal Data Engineer,10-15,"Liderazgo de plataformas de datos, estrategias de datos empresariales, consultoría interna, innovación en datos, mentorización de equipos"
Data,Data Director,12-18,"Dirección de departamentos de datos, estrategia de datos y analytics, innovación, gestión de managers, planificación a largo plazo"
Data,VP of Data/CDO,15+,"Liderazgo ejecutivo de datos, estrategia de datos a nivel de empresa, gestión presupuestaria global, transformación digital, innovación disruptiva"

# Data - Data Scientist
Data,Data Scientist Trainee,0-1,"Estadística básica, programación en Python/R, EDA básico, algoritmos básicos de ML, primeros modelos supervisados, evaluación básica"
Data,Data Scientist Junior,0-2,"Algoritmos de ML aplicados, preprocesamiento de datos, validación de modelos, estadística inferencial, visualización avanzada, pipeline de ciencia de datos"
Data,Data Scientist Mid-level,2-4,"ML avanzado, feature engineering, validación cruzada, optimización de hiperparámetros, frameworks de ML, implementación de modelos end-to-end"
Data,Data Scientist Senior,4-7,"Deep learning, NLP, sistemas de recomendación, optimización avanzada, MLOps básico, comunicación técnica-negocio, liderazgo de proyectos"
Data,Data Scientist Tech Lead,7-10,"Liderazgo técnico de equipos de data science, arquitectura de soluciones de ML, estrategias de modelado, mentorización, ML a escala"
Data,Data Scientist Architect,8-12,"Diseño de arquitecturas de ML empresariales, estrategias de implementación de IA, selección de tecnologías, MLOps avanzado"
Data,Principal Data Scientist,10-15,"Liderazgo de iniciativas complejas de DS, innovación en ML, consultoría interna, desarrollo de modelos transformadores, mentorización"
Data,Data Scientist Director,12-18,"Dirección de departamentos de data science, estrategia de IA/ML corporativa, roadmap, gestión presupuestaria, relación con negocio"
Data,VP of Data Science,15+,"Visión estratégica global de IA, arquitectura empresarial de ML, transformación digital basada en datos, liderazgo ejecutivo"

# Data - Data Analyst
Data,Data Analyst Trainee,0-1,"SQL básico, excel básico, visualización básica, reporting sencillo, conceptos de análisis de datos, herramientas BI básicas"
Data,Data Analyst Junior,0-2,"SQL intermedio, Excel avanzado, herramientas de BI (Tableau/Power BI básico), estadística descriptiva, reportes estructurados, ETL básico"
Data,Data Analyst Mid-level,2-4,"SQL avanzado, dashboards complejos, estadística inferencial básica, automatización de reportes, limpieza de datos avanzada, extracción de insights"
Data,Data Analyst Senior,4-7,"Análisis estadístico avanzado, storytelling con datos, visualizaciones complejas, análisis predictivo básico, mentorización, alineación con objetivos"
Data,Data Analyst Tech Lead,7-10,"Liderazgo de equipos de analytics, estrategias de análisis, definición de KPIs, impact assessment, dashboards ejecutivos, optimización de procesos"
Data,Data Analyst Architect,8-12,"Diseño de arquitecturas analíticas, estrategias de BI corporativa, selección de tecnologías, modelado dimensional avanzado"
Data,Principal Data Analyst,10-15,"Liderazgo de iniciativas analíticas, innovación en análisis de datos, consultoría interna, análisis transformadores, mentorización"
Data,Data Analyst Director,12-18,"Dirección de departamentos de análisis, estrategia analítica corporativa, roadmap, gestión presupuestaria, relación con negocio"
Data,VP of Data Analytics,15+,"Visión estratégica global de data analytics, transformación digital basada en datos, liderazgo ejecutivo, innovación analítica"

# Data - Business Intelligence
Data,BI Engineer Trainee,0-1,"Fundamentos de BI, SQL básico, herramientas de visualización básicas, reporting simple, conceptos de data warehousing, ETL básico"
Data,BI Engineer Junior,0-2,"Desarrollo de reportes, dashboards básicos, SQL intermedio, ETL simple, herramientas de BI básicas, análisis de métricas empresariales"
Data,BI Engineer Mid-level,2-4,"Dashboards complejos, ETL avanzado, modelado dimensional básico, optimización de consultas, automatización de reportes, integración de fuentes"
Data,BI Engineer Senior,4-7,"Diseño de data warehouses, ETL complejo, modelado dimensional avanzado, KPIs empresariales, optimización avanzada, gobierno de datos básico"
Data,BI Engineer Tech Lead,7-10,"Liderazgo técnico de equipos BI, arquitectura de soluciones BI, estrategias de data warehousing, mentorización, definición de estándares"
Data,BI Engineer Architect,8-12,"Diseño de arquitecturas BI empresariales, estrategias de integración, ecosistemas BI, data governance, estrategias de performance"
Data,Principal BI Engineer,10-15,"Liderazgo de plataformas BI, estrategia BI corporativa, innovación en business intelligence, mentorización de equipos, consultoría interna"
Data,BI Engineering Director,12-18,"Dirección de business intelligence, estrategia BI corporativa, roadmap técnico, gestión presupuestaria, gobierno de datos"
Data,VP of Business Intelligence,15+,"Visión estratégica global de BI, arquitectura empresarial de información, transformación digital basada en datos, liderazgo ejecutivo"

# Data - Machine Learning Engineer
Data,ML Engineer Trainee,0-1,"Fundamentos de ML, implementación de algoritmos básicos, frameworks de ML fundamentales, programación de modelos simples, conceptos básicos"
Data,ML Engineer Junior,0-2,"Implementación de modelos ML, training workflows, frameworks de ML, procesamiento de datos, validación básica, despliegue simple"
Data,ML Engineer Mid-level,2-4,"Arquitecturas de modelos avanzados, optimización de rendimiento, pipelines de training, integración de modelos, despliegue en producción"
Data,ML Engineer Senior,4-7,"Diseño de arquitecturas ML complejas, optimización avanzada, MLOps, distributed training, sistemas de producción, mentorización"
Data,ML Engineer Tech Lead,7-10,"Liderazgo técnico de equipos ML, arquitectura de sistemas ML, estrategias de implementación, planificación técnica, revisiones"
Data,ML Engineer Architect,8-12,"Diseño de arquitecturas ML empresariales, estrategias de modelado, gobierno de modelos, frameworks de ML avanzados, seleccion de tecnologías"
Data,Principal ML Engineer,10-15,"Liderazgo de plataformas ML, innovación en ML, estrategia tecnológica, consultoría interna, mentorización de equipos"
Data,ML Engineering Director,12-18,"Dirección de ingeniería ML, estrategia ML corporativa, roadmap técnico, gestión presupuestaria, alineación con negocio"
Data,VP of Machine Learning,15+,"Visión estratégica global de ML, arquitectura empresarial de ML, transformación digital basada en ML, liderazgo ejecutivo, innovación disruptiva"

# Data - AI Researcher
Data,AI Researcher Trainee,0-1,"Fundamentos de investigación en IA, literatura básica, implementación de papers simples, experimentación guiada, métricas básicas"
Data,AI Researcher Junior,0-2,"Implementación de papers, experimentación, análisis de resultados básicos, literatura científica, colaboración en proyectos de research"
Data,AI Researcher Mid-level,2-4,"Diseño de experimentos, adaptación de métodos, análisis de resultados avanzados, contribuciones incrementales, papers de conferencias"
Data,AI Researcher Senior,4-7,"Investigación original, nuevos métodos algorítmicos, publicaciones en journals/conferencias top, liderazgo de proyectos, mentorización"
Data,AI Researcher Tech Lead,7-10,"Liderazgo de equipos de investigación, definición de agendas de investigación, investigación innovadora, colaboraciones académicas"
Data,AI Researcher Architect,8-12,"Diseño de arquitecturas de IA empresariales, estrategias de investigación, liderazgo de áreas de investigación, dirección estratégica"
Data,Principal AI Researcher,10-15,"Liderazgo de áreas de investigación, contribuciones significativas al campo, innovación en IA, consultoría interna, mentorización"
Data,AI Research Director,12-18,"Dirección de investigación en IA, agenda de investigación corporativa, transferencia a productos, relaciones académicas, innovación"
Data,VP of AI Research/Chief Scientist,15+,"Liderazgo científico ejecutivo, visión estratégica de IA, innovación disruptiva, roadmap de investigación, propiedad intelectual"

# Data - Data Visualization Specialist
Data,Data Viz Engineer Trainee,0-1,"Fundamentos de visualización, herramientas básicas (Tableau/PowerBI), gráficos básicos, conceptos visuales, storytelling básico"
Data,Data Viz Engineer Junior,0-2,"Creación de dashboards, visualizaciones interactivas básicas, herramientas de visualización, reporting visual, análisis exploratorio"
Data,Data Viz Engineer Mid-level,2-4,"Visualizaciones complejas, dashboards avanzados, storytelling con datos, personalización avanzada, integración con fuentes diversas"
Data,Data Viz Engineer Senior,4-7,"Arquitectura de visualización, estrategias visuales, comunicación ejecutiva, optimización UX, mentorización, visualización innovadora"
Data,Data Viz Engineer Tech Lead,7-10,"Liderazgo de equipos de visualización, estrategias comunicativas, definición de estándares, visualización para decision making"
Data,Data Viz Engineer Architect,8-12,"Diseño de arquitecturas visuales empresariales, estrategias de comunicación visual, ecosistemas de datos visuales, gobernanza"
Data,Principal Data Viz Engineer,10-15,"Liderazgo de plataformas de visualización, innovación en comunicación de datos, consultoría interna, mentorización de equipos"
Data,Data Viz Engineering Director,12-18,"Dirección de visualización corporativa, estrategia global visual, transformación data-driven, gestión presupuestaria, gobierno"
Data,VP of Data Visualization,15+,"Visión estratégica global de visualización, transformación por datos, liderazgo ejecutivo, innovación visual disruptiva"

# Data - Big Data Engineer
Data,Big Data Engineer Trainee,0-1,"Fundamentos de big data, herramientas básicas del ecosistema Hadoop, Spark básico, almacenamiento distribuido, conceptos básicos"
Data,Big Data Engineer Junior,0-2,"Desarrollo de jobs de procesamiento, pipelines básicos, ETL en entornos distribuidos, integración de datos, monitoreo básico"
Data,Big Data Engineer Mid-level,2-4,"Arquitecturas de procesamiento distribuido, optimización de jobs, data lakes básicos, streaming básico, troubleshooting avanzado"
Data,Big Data Engineer Senior,4-7,"Diseño de arquitecturas big data, sistemas de streaming complejos, optimización avanzada, alta disponibilidad, mentorización"
Data,Big Data Engineer Tech Lead,7-10,"Liderazgo técnico de equipos big data, arquitecturas distribuidas, estrategias de procesamiento, planificación técnica"
Data,Big Data Engineer Architect,8-12,"Diseño de arquitecturas big data empresariales, estrategias de escalabilidad, frameworks de procesamiento, gobierno de datos"
Data,Principal Big Data Engineer,10-15,"Liderazgo de plataformas big data, innovación en procesamiento distribuido, estrategia tecnológica, mentorización de equipos"
Data,Big Data Engineering Director,12-18,"Dirección de plataformas big data, estrategia corporativa, roadmap técnico, gestión presupuestaria, gobierno de datos masivos"
Data,VP of Big Data Engineering,15+,"Visión estratégica global de big data, arquitectura empresarial de procesamiento de datos, liderazgo ejecutivo, innovación disruptiva"

# Data - Data Architect
Data,Data Architect Trainee,0-1,"Fundamentos de arquitectura de datos, modelado básico, esquemas simples, documentación básica, normalización, conceptos de integración"
Data,Data Architect Junior,0-2,"Modelado de datos, diseño de esquemas, documentación de arquitecturas, normalización, implementación de modelos simples"
Data,Data Architect Mid-level,2-4,"Diseño de arquitecturas de datos, modelos dimensionales, integración de fuentes, estrategias de migración, metadatos avanzados"
Data,Data Architect Senior,4-7,"Arquitecturas de datos complejas, diseño de data lakes/warehouses, estrategias de calidad de datos, gobierno, soluciones empresariales"
Data,Data Architect Tech Lead,7-10,"Liderazgo de equipos de arquitectura, estrategias de transformación de datos, patrones arquitectónicos, frameworks de integración"
Data,Data Architect Architect,8-12,"Diseño de arquitecturas empresariales de datos, estrategias multi-sistema, modelos avanzados, governance frameworks avanzados"
Data,Principal Data Architect,10-15,"Liderazgo arquitectónico ejecutivo, estrategia de datos, innovación en arquitectura, consultoría interna, mentorización de equipos"
Data,Data Architecture Director,12-18,"Dirección de arquitectura de datos, estrategia global, roadmap de transformación, gobierno corporativo de datos, cumplimiento"
Data,VP of Data Architecture,15+,"Visión estratégica global, arquitectura empresarial, transformación de negocio basada en datos, liderazgo ejecutivo"

# Data - NLP Engineer
Data,NLP Engineer Trainee,0-1,"Fundamentos de NLP, procesamiento básico de texto, vectorización, modelos sencillos, librerías NLP básicas, evaluación simple"
Data,NLP Engineer Junior,0-2,"Implementación de modelos NLP, preprocessing lingüístico, modelos pre-entrenados, fine-tuning básico, evaluación de modelos"
Data,NLP Engineer Mid-level,2-4,"Arquitecturas NLP avanzadas, transformers, fine-tuning avanzado, procesamiento multilingue, generación de texto, chat/dialog systems"
Data,NLP Engineer Senior,4-7,"Diseño de sistemas NLP complejos, investigación aplicada, modelos a escala, optimización avanzada, mentorización, despliegue"
Data,NLP Engineer Tech Lead,7-10,"Liderazgo técnico de equipos NLP, arquitecturas de procesamiento de lenguaje, estrategias de implementación, investigación aplicada"
Data,NLP Engineer Architect,8-12,"Diseño de arquitecturas NLP empresariales, estrategias multi-idioma/multi-contexto, frameworks lingüísticos, cumplimiento"
Data,Principal NLP Engineer,10-15,"Liderazgo en procesamiento de lenguaje, innovación en NLP, estrategia tecnológica, investigación aplicada, mentorización"
Data,NLP Engineering Director,12-18,"Dirección de tecnologías de lenguaje, estrategia NLP corporativa, roadmap técnico, gestión presupuestaria, innovación"
Data,VP of Natural Language Processing,15+,"Visión estratégica global de NLP, arquitectura empresarial de procesamiento de lenguaje, liderazgo ejecutivo, innovación disruptiva"

# Producto - Product Manager
Producto,Product Manager Trainee,0-1,"Fundamentos de gestión de producto, metodologías ágiles básicas, investigación de usuarios básica, herramientas de gestión de proyectos, análisis competitivo básico"
Producto,Product Manager Junior,0-2,"Desarrollo de user stories, seguimiento de sprints, recopilación de requisitos, interacción con desarrollo, análisis simple de métricas, backlogs"
Producto,Product Manager Mid-level,2-4,"Definición de roadmap a corto plazo, diseño de MVP, priorización eficaz, investigación de producto, métricas clave, facilitación de workshops"
Producto,Product Manager Senior,4-7,"Definición de estrategia de producto, roadmap a largo plazo, definición de KPIs, liderazgo de equipos ágiles, solución de problemas complejos"
Producto,Product Manager Tech Lead,7-10,"Liderazgo de equipos de producto, definición de roadmap a nivel de área, pensamiento estratégico, mentorización, priorización a nivel portfolio"
Producto,Product Manager Architect,8-12,"Gestión de múltiples equipos de producto, estrategia de dominio, definición de OKRs departamentales, gestión de stakeholders senior"
Producto,Principal Product Manager,10-15,"Dirección de áreas de producto, estrategia de producto a nivel de empresa, gestión presupuestaria, coordinación cross-funcional, medición de impacto"
Producto,Product Director,12-18,"Dirección de departamentos de producto, estrategia de producto global, innovación, gestión de managers, planificación a largo plazo"
Producto,VP of Product/CPO,15+,"Liderazgo ejecutivo de producto, visión estratégica global, desarrollo organizacional, estrategia de producto corporativa, transformación e innovación"

# Producto - Product Owner
Producto,Product Owner Trainee,0-1,"Fundamentos de product ownership, scrum básico, priorización de backlog básica, redacción de historias de usuario simples, refinamiento básico"
Producto,Product Owner Junior,0-2,"Gestión de backlog, refinamiento, historias de usuario detalladas, ceremonias scrum, comunicación con stakeholders, seguimiento de sprints"
Producto,Product Owner Mid-level,2-4,"Priorización avanzada, descomposición de epics, representación de negocio, definición de acceptance criteria, negociación con stakeholders"
Producto,Product Owner Senior,4-7,"Estrategia de delivery, visión de producto, roadmap de ejecución, alineación con estrategia empresarial, liderazgo ágil, mentorización"
Producto,Product Owner Tech Lead,7-10,"Liderazgo de equipos de POs, gestión de dependencies, estrategia de implementación, mejora continua de procesos, coaching de equipos"
Producto,Product Owner Architect,8-12,"Diseño de estrategias de product ownership, escalado ágil, gobierno de producto, frameworks de entrega, alineación organizacional"
Producto,Principal Product Owner,10-15,"Dirección de product ownership corporativo, estrategia de implementación empresarial, liderazgo de transformación ágil, coaching ejecutivo"
Producto,Product Ownership Director,12-18,"Dirección de departamentos de product ownership, estrategia global, innovación, gestión de equipos, planificación a largo plazo"
Producto,VP of Product Ownership,15+,"Liderazgo ejecutivo de product ownership, visión estratégica global, desarrollo organizacional, estrategia corporativa, transformación"

# Producto - Business Analyst
Producto,Business Analyst Trainee,0-1,"Fundamentos de análisis de negocio, recolección básica de requisitos, documentación elemental, mapeo de procesos básico, herramientas básicas"
Producto,Business Analyst Junior,0-2,"Análisis de requisitos básico, documentación funcional, mapeo de procesos simple, soporte a stakeholders, recolección de información"
Producto,Business Analyst Mid-level,2-4,"Análisis de procesos avanzado, especificaciones funcionales, workshops de requisitos, gestión de cambios, validación de implementaciones"
Producto,Business Analyst Senior,4-7,"Análisis de negocio estratégico, modelado de procesos avanzado, definición de soluciones, comunicación con stakeholders C-level, mentorización"
Producto,Business Analyst Tech Lead,7-10,"Liderazgo de equipos de BA, estrategia de análisis, marcos de trabajo, procesos empresariales complejos, transformación de procesos"
Producto,Business Analyst Architect,8-12,"Diseño de arquitecturas de análisis, estrategias de transformación, gobierno de requisitos, alineación estratégica, mejores prácticas"
Producto,Principal Business Analyst,10-15,"Liderazgo de prácticas de análisis, estrategia corporativa, innovación en análisis, consultoría interna, mentorización de equipos"
Producto,Business Analysis Director,12-18,"Dirección de análisis de negocio, estrategia global, centros de excelencia, gobierno empresarial, innovación de procesos"
Producto,VP of Business Analysis,15+,"Liderazgo ejecutivo de análisis, visión estratégica global, transformación digital basada en análisis, desarrollo organizacional"

# Producto - Project Manager
Producto,Project Manager Trainee,0-1,"Fundamentos de gestión de proyectos, soporte básico, herramientas fundamentales, apoyo en documentación, seguimiento simple, reuniones básicas"
Producto,Project Manager Junior,0-2,"Gestión de proyectos simples, seguimiento de tareas, reporting básico, apoyo en planificación, documentación de proyectos, organización de reuniones"
Producto,Project Manager Mid-level,2-4,"Gestión de proyectos medianos, planificación detallada, gestión de riesgos, seguimiento de presupuestos, comunicación con stakeholders"
Producto,Project Manager Senior,4-7,"Gestión de proyectos complejos, metodologías avanzadas, gestión de programas, planificación estratégica, mentorización, gestión de crisis"
Producto,Project Manager Tech Lead,7-10,"Liderazgo de equipos de PM, definición de metodologías, gestión de portfolios, PMO, optimización de procesos, gobernanza de proyectos"
Producto,Project Manager Architect,8-12,"Diseño de arquitecturas de project management, frameworks de gestión, estrategias organizacionales, metodologías empresariales"
Producto,Principal Project Manager,10-15,"Liderazgo de oficinas de proyectos, innovación en gestión, estrategia de delivery, consultoría interna, mentorización de equipos"
Producto,Project Management Director,12-18,"Dirección de oficina de proyectos, estrategia global, gestión de carteras de proyectos empresariales, transformación organizacional"
Producto,VP of Project Management,15+,"Liderazgo ejecutivo de gestión de proyectos, visión estratégica global, desarrollo organizacional, estrategia corporativa"

# Producto - Delivery Manager
Producto,Delivery Manager Trainee,0-1,"Fundamentos de delivery, metodologías ágiles básicas, soporte a equipos, seguimiento de tareas, documentación de procesos, reporting básico"
Producto,Delivery Manager Junior,0-2,"Facilitación básica, coordinación de equipos, implementación de procesos, seguimiento de dependencias, comunicación con stakeholders"
Producto,Delivery Manager Mid-level,2-4,"Gestión de dependencias complejas, facilitación avanzada, implementación de frameworks ágiles, resolución de bloqueantes, reporting"
Producto,Delivery Manager Senior,4-7,"Estrategia de delivery, gestión de programas, optimización de procesos, mentorización, escalado ágil, alineación cross-funcional"
Producto,Delivery Manager Tech Lead,7-10,"Liderazgo de equipos de delivery, implementación de transformaciones ágiles, estrategias de escalado, optimización de delivery"
Producto,Delivery Manager Architect,8-12,"Diseño de arquitecturas de delivery, estrategias de escalado empresarial, marcos de trabajo, gobernanza, alineación organizacional"
Producto,Principal Delivery Manager,10-15,"Liderazgo de prácticas de delivery, innovación en entrega, estrategia corporativa, consultoría interna, mentorización de equipos"
Producto,Delivery Director,12-18,"Dirección de entrega, estrategia global de delivery, transformación organizacional, marcos de trabajo empresariales, coaching ejecutivo"
Producto,VP of Delivery,15+,"Liderazgo ejecutivo de delivery, visión estratégica global, desarrollo organizacional, estrategia corporativa, transformación"

# Producto - Product Analyst
Producto,Product Analyst Trainee,0-1,"Fundamentos de análisis de producto, métricas básicas, herramientas fundamentales, seguimiento simple, investigación guiada, reporting básico"
Producto,Product Analyst Junior,0-2,"Análisis básico de producto, recolección de métricas, reporting simple, investigación de usuarios básica, soporte a decisiones"
Producto,Product Analyst Mid-level,2-4,"Análisis de comportamiento de usuario, A/B testing, KPIs de producto, modelos de conversión, insights accionables, dashboards"
Producto,Product Analyst Senior,4-7,"Análisis avanzado de producto, experimentación compleja, modelos predictivos, segmentación, estrategia basada en datos, mentorización"
Producto,Product Analyst Tech Lead,7-10,"Liderazgo de equipos de analytics, estrategia de datos de producto, definición de marcos de medición, alineación de métricas con objetivos"
Producto,Product Analyst Architect,8-12,"Diseño de arquitecturas analíticas para productos, estrategias de medición, frameworks de análisis, gobernanza de datos de producto"
Producto,Principal Product Analyst,10-15,"Liderazgo de analytics de producto, innovación en medición, estrategia corporativa, consultoría interna, mentorización de equipos"
Producto,Product Analytics Director,12-18,"Dirección de analytics de producto, estrategia global de medición, transformación data-driven, gobierno de datos, planificación estratégica"
Producto,VP of Product Analytics,15+,"Liderazgo ejecutivo de analytics de producto, visión estratégica global, desarrollo organizacional basado en datos, innovación analítica"

# Producto - Technical Product Manager
Producto,Technical PM Trainee,0-1,"Fundamentos de gestión de producto técnico, conceptos básicos de ingeniería, metodologías ágiles, product discovery básico"
Producto,Technical PM Junior,0-2,"Gestión de backlog técnico, historias de usuario, refinamiento con foco técnico, seguimiento de sprints, comunicación técnica-negocio"
Producto,Technical PM Mid-level,2-4,"Roadmap técnico, priorización con criterio de ingeniería, estrategias de implementación, trade-offs técnicos, gestionar deuda técnica"
Producto,Technical PM Senior,4-7,"Estrategia de producto técnico, decisiones técnicas complejas, optimización de plataformas, mentorización, escalabilidad de sistemas"
Producto,Technical PM Tech Lead,7-10,"Liderazgo de equipos de producto técnico, arquitectura de producto, estrategias de plataforma, definición de estándares técnicos"
Producto,Technical PM Architect,8-12,"Diseño de arquitecturas de productos técnicos, estrategias de plataforma, frameworks de implementación, gobierno tecnológico"
Producto,Principal Technical PM,10-15,"Liderazgo de productos técnicos, innovación en plataformas, estrategia corporativa, consultoría interna, mentorización de equipos"
